name,code,lat,lon,alt
ABDENNIZI,60661,24.1,8.5,1000
ADEB LERRACH,60623,26.5,0.5,300
ADRAR,60620,27.88,-0.28,263
AFARA,60677,23.5,6.5,1000
AIN DEFLA,60429,36.26,2.09,280
AIN-BESSAM,60415,36.29,3.53,650
AIN-SEFRA,60560,32.75,-0.58,1080
ALGER PORT,60369,36.77,3.06,5
AMGUID,60650,26.3,5.4,600
ANESBARAKA,60691,21.5,5.5,400
ANNABA,60360,36.83,7.82,4
ARAK,60660,25.3,3.5,500
ARZEW,60452,35.85,-0.32,5
ASSEKREM,60679,23.27,5.53,2710
BARAKI,60394,36.66,3.1,30
BARIKA,60471,35.39,5.37,460
BATNA,60468,35.75,6.31,822
BECHAR,60571,31.65,-2.23,811
BEJAIA-AEROPORT,60402,36.71,5.07,6
BENI OUNIF,60577,32.04,-1.24,830
BENI-ABBES,60602,30.13,-2.17,499
BENI-SAF,60518,35.3,-1.38,10
BIDON 5,60685,22.3,1.1,400
BISKRA,60525,34.8,5.74,124
BORDJ EL BAHRI,60376,36.79,3.23,10
BORDJ HAOUAS,60664,24.5,9.5,1000
BORDJ-BADJ-MOKHTAR,60686,21.33,0.92,397
BORDJ-BOU-ARRERIDJ,60444,36.07,4.76,920
BOU-SAADA,60515,35.21,4.18,460
BOUCHEGOUF,60405,36.46,7.73,120
BOUHAROUN,60377,36.62,2.65,10
BOUIRA,60417,36.38,3.9,520
BOUZAREAH,60372,36.8,3.02,345
CHLEF,60425,36.21,1.33,143
CONSTANTINE,60419,36.28,6.62,694
DAR EL BEIDA VILLE,60393,36.71,3.21,25
DAR-EL-BEIDA,60390,36.72,3.25,25
DELLYS,60387,36.91,3.91,10
DJANET,60670,24.29,9.48,968
DJELFA,60535,34.67,3.25,1144
EL HARRACH,60381,36.72,3.14,20
EL-BAYADH,60550,33.68,1.0,1347
EL-GOLEA,60590,30.57,2.87,398
EL-KHEITER,60540,34.15,0.07,1000
EL-OUED,60559,33.37,6.87,63
FADNOUNE,60662,24.8,8.5,1000
GARADJEBILET,60624,26.8,-6.1,400
GHARDAIA,60566,32.38,3.81,461
GHAZAOUET,60517,35.1,-1.85,10
GUELMA,60403,36.46,7.43,230
HASSI KHEBBI,60593,30.5,-4.5,600
HASSI-MESSAOUD,60581,31.67,6.07,140
HASSIR'MEL,60563,32.93,3.27,760
ILLIZI,60640,26.51,8.48,556
IN ATEI,60693,21.5,7.5,1000
IN AZAOUA,60694,20.8,7.5,1000
IN AZZANE,60676,23.5,10.5,1000
IN GUEZZAM,60692,19.5,5.5,400
IN ZIZA,60633,25.5,2.5,400
IN-AMENAS,60611,28.05,9.63,560
IN-GUEZZAM,60690,19.57,5.77,400
IN-SALAH,60630,27.23,2.51,273
JIJEL- ACHOUAT,60351,36.8,5.88,10
JIJEL-PORT,60353,36.82,5.78,5
KHENCHELLA,60476,35.42,7.14,1130
KOUBA,60370,36.73,3.08,120
KRECHBA,60585,29.2,2.5,300
KSAR CHELLALA,60514,35.16,2.32,800
M'SILA,60467,35.71,4.54,440
MAGHNIA,60522,34.84,-1.73,450
MASCARA-GHRISS,60507,35.21,0.15,470
MATRIOUENE,60621,27.5,0.5,300
MECHERIA,60549,33.55,-0.28,1150
MEDEA,60437,36.27,2.75,920
MERTOUTEK,60672,24.5,5.5,1000
MILA,60407,36.45,6.27,460
MILIANA,60430,36.3,2.23,720
MOSTAGANEM,60457,35.93,0.09,100
MOULAY LAHCEN,60663,24.5,2.5,400
NAAMA,60557,33.27,-0.31,1170
ORAN-PORT,60461,35.71,-0.64,5
ORAN-SENIA,60490,35.62,-0.6,90
OUALLEN,60675,24.5,1.5,300
OUARGLA,60580,31.95,5.33,128
OUED KORICHE,60371,36.78,3.04,100
OUED TAHAGGARET,60681,22.5,5.5,1000
OUHANET,60613,28.5,8.5,500
OUM EL BOUAGHI,60421,35.88,7.11,900
REGGANE,60645,26.72,0.17,217
REGHAIA,60379,36.73,3.34,20
RHOURD NOUSS,60603,30.1,7.1,200
SAIDA,60536,34.83,0.15,840
SETIF/AIN ARNAT,60445,36.18,5.33,1030
SIDI-BEL-ABBES,60520,35.2,-0.62,470
SKIKDA,60355,36.88,6.91,5
SOUK AHRAS,60423,36.29,7.95,680
TABELBALA,60605,29.4,-3.25,400
TADANTE,60673,24.5,7.5,1000
TALMINIE,60595,30.5,0.5,300
TAMANRASSET,60680,22.79,5.52,1377
TAMAZGUIDA,60617,28.5,1.5,300
TAOUNDART,60674,24.5,4.5,1000
TARF,60368,36.77,8.31,10
TEBESSA,60475,35.41,8.12,810
TEGUENTOUR,60619,28.5,4.5,400
TENES,60410,36.51,1.31,10
TESSALA EL MERDJA,60380,36.62,2.9,30
TIARET,60511,35.34,1.46,1127
TIMIAOUINE,60689,20.43,4.25,400
TIMIMOUN,60607,29.25,0.28,313
TIN ZAOUATENE,60695,19.95,3.16,400
TINALKOUN,60667,24.5,10.5,1000
TINDOUF,60656,27.67,-8.13,443
TINFOUYE,60639,28.5,7.5,400
TINTARABINE,60682,22.5,7.5,1000
TIREK,60688,21.5,3.5,400
TIRIRINE,60612,28.5,6.5,400
TIZI-OUZOU,60395,36.71,4.05,200
TLEMCEN-ZENATA,60531,35.01,-1.45,247
TOUGGOURT,60555,33.06,6.09,85
